@startuml
!include <archimate/Archimate>

Technology_Artifact(0, "Artifact")
Technology_Node(1, "Node")
Technology_Event(2, "TechnologyEvent")
Physical_Equipment(3, "Equipment")
Physical_Material(4, "Material")
Technology_Interaction(5, "TechnologyInteraction")
Physical_DistributionNetwork(6, "DistributionNetwork")
Technology_Device(7, "Device")
Technology_SystemSoftware(8, "SystemSoftware")
Technology_CommunicationNetwork(9, "CommunicationNetwork")
Physical_Facility(10, "Facility")
Technology_Service(11, "TechnologyService")
Technology_Interface(12, "TechnologyInterface")
Technology_Process(13, "TechnologyProcess")
Technology_Collaboration(14, "TechnologyCollaboration")
Technology_Function(15, "TechnologyFunction")
Technology_Path(16, "Path")
Rel_Influence(0, 1)
Rel_Composition(1, 2)
Rel_Access(2, 3)
Rel_Flow(3, 4)
Rel_Assignment(4, 5)
Rel_Association(5, 6)
Rel_Realization(6, 7)
Rel_Triggering(7, 8)
Rel_Specialization(8, 9)
Rel_Aggregation(9, 10)
Rel_Serving(10, 11)
@enduml
